Time Stamp,Engagement Score,Angry,Happy,Sad,Surprise,Neutral
0.1268939971923828,0.9099999999999999,0,1,0,0,0
0.5461218357086182,0.88,0,1,0,0,0
1.0030839443206787,0.88,0,1,0,0,0
1.5011188983917236,0.86,0,0,0,0,1
2.0443809032440186,0.89,0,1,0,0,0
2.5434229373931885,0.87,0,1,0,0,0
3.0367138385772705,0.88,0,1,0,0,0
3.502053737640381,0.89,0,1,0,0,0
4.044305801391602,0.89,0,1,0,0,0
4.534814834594727,0.89,0,1,0,0,0
5.027527809143066,0.8200000000000001,0,1,0,0,0
5.530949831008911,0.87,0,1,0,0,0
6.019568681716919,0.8999999999999999,0,1,0,0,0
6.503765821456909,0.89,0,1,0,0,0
7.03787088394165,0.9099999999999999,0,1,0,0,0
7.514444828033447,0.8999999999999999,0,1,0,0,0
8.052140951156616,0.89,0,1,0,0,0
8.528254747390747,0.8999999999999999,0,1,0,0,0
9.006452798843384,0.9199999999999999,0,1,0,0,0
9.555405855178833,0.89,0,1,0,0,0
10.036387920379639,0.8999999999999999,0,1,0,0,0
10.51234769821167,0.8999999999999999,0,1,0,0,0
11.042521953582764,0.8999999999999999,0,1,0,0,0
11.520880699157715,0.89,0,1,0,0,0
12.005143880844116,0.9199999999999999,0,1,0,0,0
12.534126996994019,0.8999999999999999,0,1,0,0,0
13.02500295639038,0.8999999999999999,0,1,0,0,0
13.506732940673828,0.9199999999999999,0,0,0,0,1
14.04300594329834,0.9199999999999999,0,0,0,0,1
14.509644031524658,0.9199999999999999,0,1,0,0,0
15.041827917098999,0.8999999999999999,0,1,0,0,0
15.52155089378357,0.9099999999999999,0,1,0,0,0
16.049465894699097,0.9099999999999999,0,1,0,0,0
16.516275882720947,0.9099999999999999,0,0,0,0,1
17.00481081008911,0.9199999999999999,0,0,0,0,1
17.544777870178223,0.9199999999999999,0,0,0,0,1
18.0115008354187,0.89,0,1,0,0,0
18.551859855651855,0.9199999999999999,0,0,0,0,1
19.04855489730835,0.9199999999999999,0,0,0,0,1
19.524725914001465,0.9299999999999999,0,0,0,0,1
20.060266971588135,0.9299999999999999,0,0,0,0,1
20.547103881835938,0.8999999999999999,0,0,0,0,1
21.02240490913391,0.9199999999999999,0,0,0,0,1
21.552515029907227,0.89,0,0,0,0,1
22.021743059158325,0.8300000000000001,0,0,0,0,1
22.521406888961792,0.8999999999999999,0,0,0,0,1
23.058262825012207,0.89,0,0,0,0,1
23.52515983581543,0.8999999999999999,0,0,0,0,1
24.002258777618408,0.8999999999999999,0,0,0,0,1
24.53637194633484,0.8999999999999999,0,0,0,0,1
25.02887272834778,0.8999999999999999,0,0,0,0,1
25.5067617893219,0.89,0,0,0,0,1
26.04188585281372,0.45999999999999996,0,0,0,0,1
26.50779891014099,0.43999999999999995,0,1,0,0,0
